"ORIGIN_AIRPORT_ID","ORIGIN","DEST_AIRPORT_ID","DEST",
10006,"06A",10056,"A43",
10009,"09A",13934,"ORI",
10011,"1G4",10661,"BLD",
10033,"A20",14709,"SCC",
10033,"A20",10299,"ANC",
10042,"A29",10056,"A43",
10056,"A43",12782,"KPR",
10056,"A43",12785,"KPY",
10056,"A43",12854,"KWP",
10056,"A43",12869,"KZB",
10056,"A43",15091,"SYB",
10056,"A43",15446,"UGI",
10056,"A43",10056,"A43",
10056,"A43",10278,"ALZ",
10056,"A43",10324,"AOS",
10056,"A43",12705,"KKB",
10056,"A43",12785,"KPY",
10056,"A43",15091,"SYB",
10056,"A43",10056,"A43",
10056,"A43",10006,"06A",
10056,"A43",10042,"A29",
10056,"A43",10324,"AOS",
10056,"A43",11299,"DGB",
10056,"A43",11513,"EHR",
10056,"A43",12705,"KKB",
10056,"A43",12771,"KOY",
10135,"ABE",13244,"MEM",
10135,"ABE",12339,"IND",
10135,"ABE",14893,"SMF",
10135,"ABE",14512,"RFD",
10135,"ABE",10529,"BDL",
10135,"ABE",12882,"LAL",
10135,"ABE",10194,"AFW",
10135,"ABE",12264,"IAD",
10135,"ABE",11433,"DTW",
10135,"ABE",14082,"PGD",
10135,"ABE",14761,"SFB",
10135,"ABE",10693,"BNA",
10135,"ABE",14112,"PIE",
10135,"ABE",11697,"FLL",
10135,"ABE",14986,"SRQ",
10135,"ABE",13930,"ORD",
10135,"ABE",11057,"CLT",
10135,"ABE",10397,"ATL",
10135,"ABE",13930,"ORD",
10136,"ABI",12896,"LBB",
10136,"ABI",12266,"IAH",
10136,"ABI",11298,"DFW",
10139,"ABL",13942,"ORV",
10139,"ABL",13970,"OTZ",
10139,"ABL",14804,"SHG",
10139,"ABL",14485,"RDB",
10140,"ABQ",11413,"DRO",
10140,"ABQ",14683,"SAT",
10140,"ABQ",13891,"ONT",
10140,"ABQ",12896,"LBB",
10140,"ABQ",13244,"MEM",
10140,"ABQ",11298,"DFW",
10140,"ABQ",10800,"BUR",
10140,"ABQ",11711,"FMN",
10140,"ABQ",12018,"GUP",
10140,"ABQ",13198,"MCI",
10140,"ABQ",10950,"CEZ",
10140,"ABQ",15941,"XWH",
10140,"ABQ",11292,"DEN",
10140,"ABQ",14747,"SEA",
10140,"ABQ",10792,"BUF",
10140,"ABQ",15016,"STL",
10140,"ABQ",10713,"BOI",
10140,"ABQ",14683,"SAT",
10140,"ABQ",13891,"ONT",
10140,"ABQ",14893,"SMF",
10140,"ABQ",13871,"OMA",
10140,"ABQ",15304,"TPA",
10140,"ABQ",11292,"DEN",
10140,"ABQ",14869,"SLC",
10140,"ABQ",12889,"LAS",
10140,"ABQ",13796,"OAK",
10140,"ABQ",14679,"SAN",
10140,"ABQ",10821,"BWI",
10140,"ABQ",11996,"GSP",
10140,"ABQ",11884,"GEG",
10140,"ABQ",14747,"SEA",
10140,"ABQ",14057,"PDX",
10140,"ABQ",13158,"MAF",
10140,"ABQ",11057,"CLT",
10140,"ABQ",12339,"IND",
10140,"ABQ",10599,"BHM",
10140,"ABQ",11259,"DAL",
10140,"ABQ",14492,"RDU",
10140,"ABQ",12191,"HOU",
10140,"ABQ",13495,"MSY",
10140,"ABQ",14122,"PIT",
10140,"ABQ",10693,"BNA",
10140,"ABQ",10397,"ATL",
10140,"ABQ",12892,"LAX",
10140,"ABQ",14831,"SJC",
10140,"ABQ",11697,"FLL",
10140,"ABQ",14107,"PHX",
10140,"ABQ",10800,"BUR",
10140,"ABQ",10423,"AUS",
10140,"ABQ",13232,"MDW",
10140,"ABQ",13198,"MCI",
10140,"ABQ",12954,"LGB",
10140,"ABQ",11278,"DCA",
10140,"ABQ",14635,"RSW",
10140,"ABQ",13204,"MCO",
10140,"ABQ",10994,"CHS",
10140,"ABQ",12206,"HRL",
10140,"ABQ",12266,"IAH",
10140,"ABQ",11298,"DFW",
10140,"ABQ",15051,"SVC",
10140,"ABQ",12266,"IAH",
10140,"ABQ",11540,"ELP",
10140,"ABQ",13891,"ONT",
10140,"ABQ",13061,"LRD",
10140,"ABQ",11292,"DEN",
10140,"ABQ",11298,"DFW",
10140,"ABQ",14107,"PHX",
10140,"ABQ",14730,"SDF",
10140,"ABQ",12266,"IAH",
10140,"ABQ",11292,"DEN",
10140,"ABQ",14869,"SLC",
10140,"ABQ",11298,"DFW",
10140,"ABQ",12892,"LAX",
10140,"ABQ",14107,"PHX",
10140,"ABQ",14771,"SFO",
10140,"ABQ",12889,"LAS",
10140,"ABQ",10423,"AUS",
10140,"ABQ",14869,"SLC",
10140,"ABQ",10397,"ATL",
10140,"ABQ",11292,"DEN",
10140,"ABQ",10590,"IFP",
10140,"ABQ",11298,"DFW",
10140,"ABQ",11298,"DFW",
10140,"ABQ",12892,"LAX",
10140,"ABQ",11697,"FLL",
10140,"ABQ",12478,"JFK",
10140,"ABQ",12266,"IAH",
10140,"ABQ",11085,"CNM",
10140,"ABQ",14057,"PDX",
10140,"ABQ",11413,"DRO",
10140,"ABQ",11711,"FMN",
10140,"ABQ",12018,"GUP",
10140,"ABQ",10950,"CEZ",
10140,"ABQ",15941,"XWH",
10141,"ABR",11775,"FSD",
10141,"ABR",13487,"MSP",
10146,"ABY",12451,"JAX",
10146,"ABY",13495,"MSY",
10146,"ABY",10868,"CAE",
10146,"ABY",14730,"SDF",
10146,"ABY",14635,"RSW",
10146,"ABY",14193,"PNS",
10146,"ABY",14027,"PBI",
10146,"ABY",10397,"ATL",
10154,"ACK",14307,"PVD",
10154,"ACK",13541,"MVY",
10154,"ACK",13984,"OWD",
10154,"ACK",11615,"EWB",
10154,"ACK",14307,"PVD",
10154,"ACK",12250,"HYA",
10154,"ACK",12197,"HPN",
10154,"ACK",12264,"IAD",
10154,"ACK",10540,"BED",
10154,"ACK",12197,"HPN",
10154,"ACK",15167,"TEB",
10154,"ACK",12478,"JFK",
10154,"ACK",12478,"JFK",
10154,"ACK",11615,"EWB",
10154,"ACK",12197,"HPN",
10154,"ACK",10721,"BOS",
10154,"ACK",13541,"MVY",
10154,"ACK",12250,"HYA",
10154,"ACK",12478,"JFK",
10154,"ACK",12250,"HYA",
10155,"ACT",11298,"DFW",
10155,"ACT",15074,"SWO",
10155,"ACT",12266,"IAH",
10155,"ACT",13290,"MHK",
10155,"ACT",15919,"XNA",
10155,"ACT",11027,"CKB",
10157,"ACV",10930,"CEC",
10157,"ACV",14893,"SMF",
10157,"ACV",13796,"OAK",
10157,"ACV",15458,"UKI",
10157,"ACV",12892,"LAX",
10157,"ACV",14771,"SFO",
10158,"ACY",11259,"DAL",
10158,"ACY",15304,"TPA",
10158,"ACY",13577,"MYR",
10158,"ACY",11697,"FLL",
10158,"ACY",14635,"RSW",
10158,"ACY",13204,"MCO",
10158,"ACY",14027,"PBI",
10158,"ACY",12898,"LBE",
10158,"ACY",14492,"RDU",
10158,"ACY",11764,"FRG",
10165,"ADK",10917,"CDB",
10165,"ADK",10299,"ANC",
10165,"ADK",10299,"ANC",
10170,"ADQ",10299,"ANC",
10170,"ADQ",10299,"ANC",
10170,"ADQ",10299,"ANC",
10170,"ADQ",10170,"ADQ",
10170,"ADQ",10243,"AKK",
10170,"ADQ",12721,"KLN",
10170,"ADQ",12772,"KOZ",
10170,"ADQ",12866,"KYK",
10170,"ADQ",13863,"OLH",
10170,"ADQ",13934,"ORI",
10170,"ADQ",10243,"AKK",
10170,"ADQ",12721,"KLN",
10170,"ADQ",12772,"KOZ",
10170,"ADQ",10170,"ADQ",
10170,"ADQ",12866,"KYK",
10170,"ADQ",13863,"OLH",
10170,"ADQ",13934,"ORI",
10171,"ADS",12007,"GTR",
10171,"ADS",14685,"SAV",
10171,"ADS",15024,"STT",
10171,"ADS",11049,"CLL",
10171,"ADS",12945,"LEX",
10171,"ADS",10171,"ADS",
10171,"ADS",11995,"GSO",
10171,"ADS",14656,"RWI",
10184,"AET",11630,"FAI",
10184,"AET",10783,"BTT",
10184,"AET",11630,"FAI",
10185,"AEX",12266,"IAH",
10185,"AEX",10559,"BFI",
10185,"AEX",12266,"IAH",
10185,"AEX",13303,"MIA",
10185,"AEX",11973,"GPT",
10185,"AEX",14683,"SAT",
10185,"AEX",10185,"AEX",
10185,"AEX",11618,"EWR",
10185,"AEX",14259,"PSM",
10185,"AEX",11150,"CSG",
10185,"AEX",11995,"GSO",
10185,"AEX",10747,"BRO",
10185,"AEX",13230,"MDT",
10185,"AEX",10466,"AZA",
10185,"AEX",13487,"MSP",
10185,"AEX",11259,"DAL",
10185,"AEX",10540,"BED",
10185,"AEX",10423,"AUS",
10185,"AEX",11298,"DFW",
10185,"AEX",10397,"ATL",
10185,"AEX",12266,"IAH",
10194,"AFW",12324,"ILN",
10194,"AFW",11433,"DTW",
10194,"AFW",13303,"MIA",
10194,"AFW",13930,"ORD",
10194,"AFW",14683,"SAT",
10194,"AFW",12266,"IAH",
10194,"AFW",11618,"EWR",
10194,"AFW",11540,"ELP",
10194,"AFW",13891,"ONT",
10194,"AFW",11292,"DEN",
10194,"AFW",14869,"SLC",
10194,"AFW",12889,"LAS",
10194,"AFW",13796,"OAK",
10194,"AFW",14679,"SAN",
10194,"AFW",10821,"BWI",
10194,"AFW",13487,"MSP",
10194,"AFW",14747,"SEA",
10194,"AFW",14057,"PDX",
10194,"AFW",12896,"LBB",
10194,"AFW",13158,"MAF",
10194,"AFW",11057,"CLT",
10194,"AFW",13244,"MEM",
10194,"AFW",12339,"IND",
10194,"AFW",13495,"MSY",
10194,"AFW",12264,"IAD",
10194,"AFW",11298,"DFW",
10194,"AFW",15370,"TUL",
10194,"AFW",10397,"ATL",
10194,"AFW",12892,"LAX",
10194,"AFW",11697,"FLL",
10194,"AFW",14107,"PHX",
10194,"AFW",10423,"AUS",
10194,"AFW",10299,"ANC",
10194,"AFW",13198,"MCI",
10194,"AFW",12278,"ICT",
10194,"AFW",14814,"SHV",
10194,"AFW",13204,"MCO",
10194,"AFW",12206,"HRL",
10194,"AFW",13891,"ONT",
